10-05-2026 13:43:29,Admin,1,FAILED
10-05-2026 16:09:47,Admin,1,FAILED
10-05-2026 16:09:54,Admin,1,FAILED
10-05-2026 16:18:47,Patient,1,FAILED
10-05-2026 16:18:53,Patient,1,FAILED
10-05-2026 16:18:56,Patient,1,FAILED
10-05-2026 16:18:56,Patient,1,LOCKED
10-05-2026 16:47:14,Doctor,1,FAILED
10-05-2026 17:09:51,Patient,1,FAILED
10-05-2026 17:09:57,Patient,1,FAILED
10-05-2026 17:10:14,Admin,1,FAILED
10-05-2026 17:10:14,Admin,1,LOCKED
10-05-2026 17:10:28,Patient,1,FAILED
10-05-2026 17:10:39,Patient,2,FAILED
10-05-2026 18:21:48,Doctor,1,FAILED
10-05-2026 18:22:55,Patient,1,FAILED
10-05-2026 18:27:43,Doctor,1,FAILED
10-05-2026 18:27:49,Doctor,1,FAILED
10-05-2026 18:28:47,Admin,1,FAILED
10-05-2026 19:58:13,Patient,2,FAILED
10-05-2026 20:36:39,Patient,,FAILED
10-05-2026 23:06:35,Patient,1,FAILED
10-05-2026 23:13:55,Doctor,2,FAILED
